
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2001/09/21	1815.56	1821.34	1803.80	1807.02	13707382	4048556032.00
2001/09/24	1804.88	1808.70	1791.62	1794.96	7794100	3866253056.00
2001/09/25	1799.97	1813.30	1788.40	1793.88	7074100	3879627008.00
2001/09/26	1793.65	1793.67	1765.16	1767.81	6762000	3720374016.00
2001/09/27	1765.62	1779.13	1750.76	1764.93	6167900	4099639040.00
2001/09/28	1766.13	1774.29	1751.72	1764.86	5863700	4354290176.00
2001/10/08	1766.13	1773.79	1723.04	1726.53	4720977	3301401088.00
2001/10/09	1724.17	1751.06	1722.22	1744.64	5640030	3487762944.00
2001/10/10	1744.04	1744.63	1683.70	1686.61	6850453	5008204800.00
2001/10/11	1682.31	1693.21	1634.20	1638.32	8462167	5378806784.00
2001/10/12	1637.74	1700.70	1598.79	1691.32	12870192	8772683776.00
2001/10/15	1692.17	1703.58	1670.26	1687.28	6689658	5383448064.00
2001/10/16	1689.18	1691.65	1649.20	1655.90	5668652	4020742912.00
2001/10/17	1654.92	1661.88	1635.91	1643.06	5848358	3408162048.00
2001/10/18	1642.01	1651.11	1609.38	1615.57	6471828	3872794880.00
2001/10/19	1610.44	1610.44	1550.91	1572.45	11377782	6770309120.00
2001/10/22	1558.46	1563.39	1514.86	1520.66	8008598	4651356160.00
2001/10/23	1642.22	1670.73	1625.14	1670.56	37543756	17549062144.00
2001/10/24	1733.63	1744.92	1685.71	1718.06	33354958	24759984128.00
2001/10/25	1708.02	1708.02	1673.05	1676.49	14494376	12436050944.00
2001/10/26	1669.15	1681.90	1651.52	1677.87	9601522	7812440064.00
2001/10/29	1678.72	1701.12	1678.72	1700.47	9509101	6765477888.00
2001/10/30	1702.86	1704.48	1680.43	1682.76	10310847	5271434240.00
2001/10/31	1678.92	1689.17	1655.88	1689.17	7731640	4930861056.00
2001/11/01	1692.35	1717.73	1688.09	1707.75	9547888	7312840192.00
2001/11/02	1703.92	1711.74	1688.57	1691.35	9625065	5254942208.00
2001/11/05	1687.84	1688.30	1671.23	1679.57	8749559	4335849984.00
2001/11/06	1678.17	1685.51	1668.65	1671.27	6735994	4198029056.00
2001/11/07	1669.42	1669.46	1591.76	1594.05	11914081	6865674752.00
2001/11/08	1566.52	1605.89	1550.46	1605.87	9157185	5584953856.00
2001/11/09	1605.07	1637.90	1582.85	1630.35	9657028	6471715840.00
2001/11/12	1631.79	1637.32	1619.11	1621.19	6005700	4482608128.00
2001/11/13	1609.95	1623.45	1598.11	1615.93	5573400	3735971072.00
2001/11/14	1615.75	1627.97	1614.59	1617.10	4801700	3173017088.00
2001/11/15	1619.26	1624.81	1612.91	1621.34	4447679	2937435904.00
2001/11/16	1725.45	1734.67	1644.61	1646.76	17699655	13466399744.00
2001/11/19	1645.09	1669.99	1644.82	1669.89	6853317	5308960768.00
2001/11/20	1672.21	1703.74	1670.80	1699.73	14353226	10571624448.00
2001/11/21	1700.66	1707.93	1690.23	1705.66	10728973	7915236352.00
2001/11/22	1705.92	1715.93	1700.51	1715.81	9541205	7889113088.00
2001/11/23	1715.65	1721.97	1704.14	1712.56	10254955	7311068672.00
2001/11/26	1710.13	1710.13	1696.00	1705.89	7893367	5452572672.00
2001/11/27	1705.51	1722.62	1704.85	1722.59	7839948	5832491008.00
2001/11/28	1725.54	1741.67	1725.16	1735.00	13331724	9099997184.00
2001/11/29	1735.38	1741.74	1728.89	1732.30	10537733	8119016960.00
2001/11/30	1732.13	1748.00	1731.96	1747.99	12148800	8423146496.00
2001/12/03	1751.05	1767.44	1750.92	1762.56	12309019	9966283776.00
2001/12/04	1763.79	1770.36	1754.87	1769.68	10210998	8423789568.00
2001/12/05	1765.56	1776.02	1745.10	1745.23	13622818	10982961152.00
2001/12/06	1740.08	1754.77	1737.06	1751.18	9694440	9043440640.00
2001/12/07	1752.02	1756.47	1743.33	1745.41	8245245	7075286016.00
2001/12/10	1743.63	1748.97	1730.81	1748.68	7387028	5999253504.00
2001/12/11	1748.02	1748.97	1726.69	1728.88	9127933	6325176320.00
2001/12/12	1724.88	1728.83	1714.18	1715.17	8719757	6643464704.00
2001/12/13	1713.78	1720.55	1687.09	1688.01	8595370	6472988160.00
2001/12/14	1683.73	1692.91	1673.32	1675.51	6840670	5180202496.00
2001/12/17	1673.24	1680.84	1662.68	1665.94	5152087	4110356992.00
2001/12/18	1666.51	1687.77	1660.50	1687.29	6820297	5607603200.00
2001/12/19	1688.92	1693.18	1671.94	1672.70	5899894	5211163648.00
2001/12/20	1669.47	1669.48	1628.47	1631.54	8321033	6489421824.00
2001/12/21	1627.44	1640.79	1624.50	1640.14	5902577	4309067776.00
2001/12/24	1639.52	1640.14	1601.24	1606.10	6635836	4923335168.00
2001/12/25	1604.67	1613.60	1593.03	1611.17	6264016	4668022784.00
2001/12/26	1610.65	1634.33	1605.15	1633.64	7229134	5329963520.00
2001/12/27	1635.46	1644.41	1625.45	1627.92	7360810	6132020224.00
2001/12/28	1626.95	1639.85	1619.53	1639.48	7060651	5788818944.00
2001/12/31	1641.43	1649.80	1638.32	1645.97	10632377	6353921536.00
2002/01/04	1643.48	1643.50	1608.83	1611.39	5265430	3482604544.00
2002/01/07	1605.74	1605.74	1584.66	1596.76	5134108	3273248000.00
2002/01/08	1594.87	1607.72	1582.45	1583.46	6071501	4025048832.00
2002/01/09	1580.71	1580.72	1552.56	1561.35	6808635	4483397120.00
2002/01/10	1556.74	1580.01	1523.66	1576.44	12487717	6219620864.00
